id,topic_id,text,type,effectiveness
28a94d3ee425,007ACE74B050,"Though people were not satified about how the landform was a natural landform, in all, we new that alieans did not form the face. I would like to know how the landform was formed. we know now that life on Mars doesn't exist. ",Concluding Statement,Adequate
9fd314f638e5,00944C693682,"Individual car use isn't bad. Millions of individuals using cars, however, is very bad. Note the emphasis. Even just making a concious effort to car pool, bike to work or school, use public transportation, or use some sort of alternative transportation could be enough to clear up the air of some of it's emissions, keep oneself and others happier and less stressed, save time and money, and improve their city all in one little decision. It's just a matter of going ahead and doing it, so what is stopping anyone from going out and making that change now? Be the change you want to see and limit your car usage now.  ",Concluding Statement,Effective
af494e4e0b4f,00BD97EA4041,To conclusion computers in school shouldn't detect emotions of the students. I have proved my point on why it shouldn't be in school. I have given you several examples from the passage to prove this point. It shoudn't matter if the computer knows how your feeling.  ,Concluding Statement,Adequate
9c3b9503c9a4,00C6E82FE5BA,"The reasons why i said that this would be unvalueable is because the reason of security,like anything could go wrong because everything in technology can be unexpected. thats why i chose the reasons I did. ",Concluding Statement,Adequate
b199e5df1815,013B9AA6B9DB,"So, in conclusion, the famous face on Mars was a natural landform. This is supported by the pictures taken in 1998 and 2001. The image captured in 2001 could also possibly see other objects if there were any. So, the face not a sign of life on Mars. ",Concluding Statement,Adequate
03294d2fcc6a,0158970BC5D2,"It is important to keep students' minds engaged over the summer break, so they don't feel completely disoriented the following school year. I know from personal experience that the break between school years has left me disinterested in continuing to learn and work for the next school year. However, giving students teacher-designed assignments will stimulate their brains and keep them focused over the break. ",Concluding Statement,Adequate
5431a13b4893,015BB7DA58EE,In conclution we could make our childrens classroom experiences more enjoyable. Even if it is a little creepy to have a software that watches you for your whole classroom experience. But it mostlikely is worth it to make shcool more enjoyable for the kids in them. ,Concluding Statement,Adequate
d64021d415d7,0167BBA84E43,Just because it looks as if it is something could not just be made out of a human face. If they had more evidence then it would be believeable but until then my opnion is still that it is a land form.      ,Concluding Statement,Adequate
6d9d88dcdb54,0168325D0E24,"In all actuality, how many people dont realize how long they spend of their life in a car? If one day all cars in the world were banned, how would everyone recate? Some people may want to give up their cars, some people may not want to give up their cars ",Concluding Statement,Adequate
40556d737dae,0168325D0E24,"In one acrtical, it say there is a place where no cars are aloud but it also says that that place is an experimental project. In the end cars are just no as popular as they used to be. is that a good or bad thing, you decide.                ",Concluding Statement,Adequate
826b1039775a,01AFC67DF935,So whether you like it or not everything has consequences.    ,Concluding Statement,Adequate
c154a240940d,01B52B1D14F8,Human vs Technology there you go.    ,Concluding Statement,Adequate
6d6e1d40b9b1,01E9D9CD5CBF,"The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face. Facial expression not only expresses emtions but also even help reproduce them. The thought of making faces could reveal so much about the science of emotions. ",Concluding Statement,Adequate
7a19c3831933,01F69867D1BE,"
Overall schools that require summer break projects should move towards student designed projects over teacher designed ones. When students have the ability to choose from certain topics and units they can decide what is best for them. Using the project to work on material that they were intrested in through out the year and want to further research and learn about or use the oppurtunity to study material that the student had trouble with over the school year so that they can be caught up for next year. Furthermore students can create projects that will help them with future cirriculum for next year. In conclusion schools should use student designed projects because it allows the student to choose how they want to utilize the time for either further studying a topic, going back and reviewing areas they had trouble in or learning future topics for next school year. ",Concluding Statement,Effective
73c183f965dd,021663FD2F2E,Therefore this New technology is valuable for the students in classrooms.      ,Concluding Statement,Adequate
66e5faf2eabb,022EE73C4244,"The end of summer is not fun for anyone involved, students and teachers alike. Why would we want to dampen the vacation with unexciting work looming over students heads the whole time. Students should feel excited to go back to school and be they should have something to look foward to sharing with their classes. It is common knowledge that doing work that is uninteresting to you lowers your performance and makes the work that much more of a chore. With student selected summer assignments we can prevent that and create a new wave of excitement about returning to school.  ",Concluding Statement,Effective
927aa74c8d21,023CEE52C08C,Scientest are working hard to accheve this goal to explore this harsh mystery planet. They accept the challanges that come with it and they strive to succeed not only to gain insight but to quench their curiosity that all humans have about this planet and the possibilities that it could lead to.  ,Concluding Statement,Ineffective
a9d46712d873,02A3E737A10F,I think that the principal should not decided that every single gosh darn student should do an extracurricular activity. ,Concluding Statement,Ineffective
87e885430b55,030F2D5F039D,"So yes, its valuable. ",Concluding Statement,Adequate
11fba8973075,037059DAD8EF,"In conclusion the Facial Action Coding System should be used in classrooms for students. They will help improve their interest in topics at school, help the students understand better, it will help students be more possitive, and finally is will have a big impact on all of us. The Facial Action Coding System would be a new way of gaining more knowledge. It will help students and teachers understand eachother better. Overall this would be a positive impact amoung us all. ",Concluding Statement,Adequate
7c17dbb34874,0411A43FF828,"The author backs up his suggestion with great evidence, but does it in a realistic way. He realizes how dangerous it is to study, but pushes for it by bringing up how little we know about Venus. The author's suggestion is correct and scientists need to find a way to study Venus. ",Concluding Statement,Adequate
0f1fbaff772e,04147BBED91A,"Reaching the final conclusion is up to you. Is a computer being able to identify your emotions useful in classrooms, or not? ",Concluding Statement,Adequate
8dafd6deb7b7,044FD1AE9230,"there are many advantages, going through the United States in to Europe. Those are some of the advantages of limiting car usage. ",Concluding Statement,Adequate
9ef03ff895c2,04B4209D8A34,"There is no reason why students shouldn't join clubs. Activities at your school can help you be involved, make friends, and you could enjoy the club. This is why I agree that students should have to at least participate in one extracurricular activity. ",Concluding Statement,Adequate
b670edfc1907,04CD9AA9ECC5,In conclusion to the challenge of Venus I say it is a time waster and we will not be able to see the whole planet of Venus with only a few hours once every few decades. ,Concluding Statement,Adequate
e7ff9a6ca179,0548DE784D69,"venus is one of the most challenging exploring planet on the slolar system.

if we can find a way to overcome this challenges we should be able to over come all other planet on the solar system challegings this we dont have to worry about this earth twin to affect our own earth. ",Concluding Statement,Ineffective
a7985f5bb26c,0557D6B9B3E5,In conclusion the author did an amazing job by giving us (the reader) multiple reasons on why we on earth should go and venture out in our solar system and figure out what Venus is truly all about. And maybe we'll be able to create this planet into a new habitat. The only way we shall know is if we are able to venture out and do such. ,Concluding Statement,Adequate
5809e26d9b9e,0581A6F4E804,"The system would be a good way to teach students at schools or at home if possible. Now the students will not be bored in class,neither will they be confused because the system would be able to recognize it and change it ",Concluding Statement,Adequate
30e9374f29fc,05C9186E77DF,"In conclusion, I personally think that with the help of this technology teachers will be able to read into their students emotions better. Also, teachers would be able to tell if students are lying to them. The value of this technolgy would be able to help them read the facial expressions of many people with diasbilites who have trouble conveying emotions. I beleive that is this type of technology were to be used in a classroom that it would be a great help to many teachers. ",Concluding Statement,Adequate
3610b426dbec,05E95229344B,"The point is most of the kids just don't commit or have time or family events, everyone is different you can't just expect every kid just to go.

So no I dont agree with what the princlai said at all and it should be there for kids to choose it or not for them to force it on the kids. ",Concluding Statement,Adequate
25e66e444fd3,071BF63AF332,"schools should make it so all students have to participate in an extracurricular activity such as a club or a sport because it helps students make new friends and build relationships, it can introduce students to something they've overlooked in the past, and it can increase social activity among students. ",Concluding Statement,Effective
4160ddc6c16e,077A62D46D30,Teacher-designed projects are the best way for schools to ensure that students continue learning material for classes during break without causing anxiety in students or misjudgment of students by teachers. Summer projects are meant to help students but student-designed projects can sometimes harm students instead. Every student should be allowed to spend their summer without stressing about how they will be perceived by their fellow classmates and teachers the next year. Summer projects should encourage students to continue to learning while also spending quality time with their family and friends during their break. ,Concluding Statement,Effective
d9894f1d324b,07D3CBDEFCEF,"The age of computers is inescapable, but it doesn't have to be. Instead of computer analyzed emotional connection, people should put their phones down and ask each other how they are. Not every person wants their emotions analyzed, especially in schools. Students bonds with teachers are simply student to teacher; a child must trust an adult before they talk about their feelings. Computer facial technology might be helpful, but not in schools. This technology falls flat in the category of connection. Don't take the easy way out, instead of analyzing emotions with a computer, ask someone how they are. If a student looks upset, sit down and talk with them. Show someone they are valuable and deserve one on one human interaction ",Concluding Statement,Effective
83c2f9800394,07ECEB4E4BE1,"In conclution Venus has many similarities to earth, but due to the extreme conditions of Venus it makes it hard for scientist to explore and find out more about the planet, even though it is the closest to the planet earth. These dagers and risk are worthwhile due to the simlarities the earth shares with venus, the new test of equtmeant in which can withstand these climates, and the life in which they believe use to be on Venus all make exporing Venus, even with dangers worth the time. ",Concluding Statement,Adequate
4e7e0fcc22ec,0821EB1AEDED,"Projects being put out during summer break will always be a boring and overbearing thing to complete and in some cases even ruin summer break for them overall just to learn information that teachers assign. Having the project be student-designed, however, will change the entire assignment in all, giving more creativity, better pacing, more enjoyment, and a better learning experience for students all around, it will benefit them rather than a teacher-designed project. All projects, even ones put out over summer break, should be student-designed because the outcome will have more uniqueness with student's ideas, the project overall will be more fun, and students will learn in their own learning way.         ",Concluding Statement,Effective
44773b4967d6,082E19093947,Student based projects would be more likely done then teacher based projects. Students would do them off of things they are interested in and subjects that catch their attention. They will do it around there time frame and in any style they want. doing it student based will have students educate them selves about things they enjoy and love to do on daily bases and teachers will have something turned in to them by the end of summer. ,Concluding Statement,Adequate
880ad5576106,0839B4ACC2AF,schools should have summer projects that are designed by teachers. This way students would be more benefited due to the teachers knowledge on the topic. When the teachers do create the project there will be more clarity on what the student should do. The students will also be able to get a feel of the class in the coming year.  ,Concluding Statement,Effective
62b493dbba69,086603D5B319,"if the principal forced students to do extracurricular activities, it would make students more stressed out then they should be. If students don't like the activity they have to do, why do they have to take that activity? The poor students wouldn't have time to breath, and go home. Students relaxing time would be school time, so which one do you choose? Forcing students to live under school, or allow students to have their own life after school, with no consequences.  ",Concluding Statement,Adequate
53297b1e0c8a,090D5AC33481,"The use of a mobile device while operating a vehicle should be prohibited. Now is the time to admit that driving while using a phone or any mobile devices is dangerous! You wouldn't want you or a loved one to end up critically injured, dead or disabled. Phone usage while driving is one of the many reasons accidents happen everyday. You can always wait until you are out of the car to make that call or answer that text !   ",Concluding Statement,Effective
5d2e2aeeb928,09133053C474,That is why I think you should join the Seagoing Cowboys program. ,Concluding Statement,Ineffective
dcef369fd34c,0961B819A4E9,"this is why i think it would be a good idea to make computers that can see how someone is feeling. If there sad,or mad. ",Concluding Statement,Adequate
2639324f7ebc,09770DECD26C,Those are all my reasons why I think kids should do at least one extracurricular activity. My essay also shows that not just the kids have the advantages but the teachers and parents to do.  ,Concluding Statement,Adequate
7769a1ae7f74,099985A2A99C,We should study Venus is a perfect oppurtunity for us to study new planets and see what we can do to have another safe planet. Its gonna be dangerous but i believe that we have the right tools and the right equiment to go over there and we have really good machines so they can work in there .    ,Concluding Statement,Adequate
2a8e47324857,09D40BD05847,I think the Facial Action Coding System is a waste of time. ,Concluding Statement,Adequate
df8949b06ec5,09DB075C4ACE,"I think this would be really good to get out to schools to show them how to see different emotions about people and like i said before, it would make a great game. ",Concluding Statement,Adequate
