id,topic_id,text,type,effectiveness
9704a709b505,007ACE74B050,"On my perspective, I think that the face is a natural landform because I dont think that there is any life on Mars. In these next few paragraphs, I'll be talking about how I think that is is a natural landform ",Position,Adequate
de347c859ab6,00944C693682,"With so many things in this world that few people agree on, this is a nice change to see in regards the removal of so many cars. Why would they all agree, one might ask. Well, there are plenty of reasons. 
",Position,Effective
c20937683442,00BD97EA4041,"No because, why should a computer know how your feeling? ",Position,Adequate
9d03e2bef0ff,00C6E82FE5BA,I think that it wouldn't be valueable to have technology be able to read emotions ,Position,Adequate
c2203a58aa5c,013B9AA6B9DB,"Well, some people believe that it was something made by aliens. I am here to prove that it was not. 
",Position,Adequate
e713e8b20cf3,0158970BC5D2,summer projects should be teacher-designed ,Position,Adequate
9cdb031bf4c9,015BB7DA58EE,In the following paragraphs they will talk about if we should or should not read students faces to make the classroom experience more enjoyable. ,Position,Adequate
f1f8daa23ba7,0167BBA84E43,"In conclusion the ""face'' to me is still just a land form. ",Position,Adequate
d4e5221d31d2,0168325D0E24,"There are many sides to people giving up their cars. Some people are truly happy and some are not. It may not be that bad, i mean how did people manige before cars were even invented ",Position,Ineffective
2afcaec42c9c,01AFC67DF935,"Limiting our usage of any type of motorized vehicle, would not only decrease air pollution but it would also help with adults or children that may not exercise enough.  ",Position,Adequate
7d71dae9cdbf,01B52B1D14F8,"So, no I don't think it's classroom valuable to use FACS. ",Position,Adequate
d149f0653fd1,01F69867D1BE,To improve student input schools should move towards student designed projects so students will be more intrested and and involved in the project. ,Position,Effective
5fabd9b3a221,021663FD2F2E,this new technology is valuable. ,Position,Adequate
fe37cadc0c6b,022EE73C4244,"If teachers gave students the opportunity to discover their own work, and maybe even a passion, students work would be of a higher quality and it might actually have them excited to go back to school. ",Position,Effective
5f20ed34ee51,023CEE52C08C,"In the article ""The Challenge of Exploring Venus"", it tals about how scientest are working on new technology to overcome the chalanges of Venus and its complications. ",Position,Ineffective
ba3f708db030,02A3E737A10F,Students shouldn't have to participate in one extracurricular activity or any ,Position,Adequate
9312c509fc2f,02DACD6071FD,You have to try this out ,Position,Adequate
bc0f305560fc,02DD203E0599,I strongly feel like drivers shouldn't be able to use their cell phones while operating a vehicle because it can be dangerous for them and everyone else on the road. ,Position,Adequate
9bac6a121820,0300455258CB,"There is a lot of young teenagers and also adults getting into car accidents. Its because of our cellular devices, texting while driving. ",Position,Adequate
b8212dd34061,030F2D5F039D,"Yes, the use of this technology to read the emotional expressions of students in a classroom is valuable ",Position,Adequate
3c3b0c54835c,037059DAD8EF,I believe the use of this technology to read the emotional expressions of a student in a classroom is valuable. ,Position,Adequate
0e5d095f7af2,0411A43FF828,The author of the article is right about the exploration of Venus being a worthy pursuit. ,Position,Adequate
5bfc73ad40f2,04147BBED91A,"The use of this technology to read the emotional expressions of students in a classroom could be valuable, or it could be a waste of time, depending on how you look at it. ",Position,Adequate
5e605734b4a7,04217B837E28,scientist are till working on the planert wonderingthe same question as you why are we still working on this dangerus planet ,Position,Ineffective
bcb395f36d13,044FD1AE9230,"There are many limiting car usage, through out the world, ",Position,Ineffective
2bb7cac3fac3,04B4209D8A34,I agree that it should be mandatory for all students to participate in at least one extracurricular activity ,Position,Adequate
f689e7feb8cb,04CD9AA9ECC5,My claim to do studying on Venus is saying no I think spending so much time and money on something that has been tempted to do multiple times and failed is wasteful. ,Position,Adequate
391c72a55f87,04FF4D9B5B3D,Yes but no do i think this is valuable because i feel like my emotion's is my personal problems but if pschologist are using it to hep kids and people then yes i belive it is very valuable. ,Position,Adequate
f04468bea831,0548DE784D69,"The challeange of exploring venus

Study venus is a pursuit to dangers, Venus is the challenging planet to humans because of the diffculties. ",Position,Ineffective
e74fcac92412,0557D6B9B3E5,The author couldn't be any better in this story on why even with it's dangers we on earth should venture out and see what Venus is all about. Giving us multiplie reasons why we need to find a way to get someone (or something) over there as soon as possible ,Position,Adequate
a97e12032760,0581A6F4E804,The new technology used to undertstand facial expressions would be a valuable thing in a classroom ,Position,Adequate
a99c06cc83a4,05C9186E77DF,I agree with Dr. Hung that the software would be useful to help decipher mixed emoitions. ,Position,Effective
69c65c10e9b6,05E95229344B,So there's pros and cons in this I know that but deciding if its something I truly believe in then no. ,Position,Adequate
fc524f7af595,06BE6D6749EA,There once was three citizen friends from boston who wanted who wanted to limit car usage to 70 percent they realized it was a good idea ,Position,Adequate
37992f5647e5,071BF63AF332,Schools should make it a requirement for all students participate in a extracurricular activity ,Position,Adequate
4c2ee7d56e14,072BF1F05F66,The use of the Facial Action Coding System to read the emotional expressions of students in a classroom is valuable ,Position,Effective
9f078f11ffa4,077A62D46D30,The best way to ensure that students continue learning over break is to assign teacher-designed projects. ,Position,Adequate
c6551a98569e,07D3CBDEFCEF,"Emplimenting a computer system in schools that is capable of reading a students emotions is inappropriate, lazy, and dangerous. ",Position,Effective
8cd0045c76c1,07ECEB4E4BE1,"In the article ""The Challenge of Exploring Venus"" the author suggest that studing venus is worth while even though their are extreme dangers while doing it. ",Position,Adequate
40ea6ed111a6,0821EB1AEDED,These projects that get assign should be more student-designed ,Position,Adequate
cae823862850,082E19093947,Here's why students should be allowed to come up with their own school project to make sure they continue learning over summer. ,Position,Adequate
f8191ae1bf28,0839B4ACC2AF,Summer projects should be teacher-designed ,Position,Adequate
466833f05fdf,086603D5B319,". I don't agree that students should be forced to take one extracurricular activity, ",Position,Adequate
e3eeee873427,08A6AD8C775B,"But as you can see in the pictures it's just a messa, a natural cause in nature, something that happens on earth, but it just so happened to look so much like a face from the possible clouds and blurry picture from the first ",Position,Adequate
4681d2550939,090D5AC33481,"Phone usage while driving should be prohibited in every state, country and continent! ",Position,Adequate
5c69d2936a37,09133053C474,I think you should join too ,Position,Adequate
c3707b440343,0961B819A4E9,I would agree to computers that can identify humans emotions would be pretty cool for our inverment. ,Position,Adequate
c34ab25756f1,09770DECD26C,I think that students should do at least one extracurricular activity. ,Position,Adequate
6d2284059d0a,099985A2A99C,the author article about studying venus is good. My opnion is that we should study Venus because that can be a good thing for us ,Position,Ineffective
723d85e86c96,09D40BD05847,There is nothing the Facial Action Coding could do for people in the world if you ask me. ,Position,Adequate
559eeee0cfa4,09DB075C4ACE,Every teacher should use this in their class room because the teacher could see what each student is feeling inside ,Position,Adequate
1ab1030c639a,0A5B8761B187,Disagree ,Position,Ineffective
2929f3867c66,0A618B980D2D,I would join this program because I can help people in needs and I could travel and see things that I wanted to see a long time ago I could travel all around the world all day every day of the week. ,Position,Adequate
da693397195e,0ABF4F99E166,The implementation of technology able to read the emotional expressions of children in the classroom is valuable for both the teachers and the students. ,Position,Effective
271ec6c78981,0ACB0E08934E,"The ""Facial Action Coding System"" is technology that can be used in the class room because some people can't figure out how good or bad someone is feeling. ",Position,Adequate
5157df3b8808,0AD7535C58C0,"This negatively affects teens and their society, and should be strictly avoided. ",Position,Adequate
00dec2023c50,0B606C33AC4D,"Car-free cities seem to be more safe. 
",Position,Adequate
af23c7b9c97d,0B81C3067FF2,"That the author did good job at explan the evidences like he saws, ",Position,Ineffective
fd7df123f926,0B87B0B3278C,"In the article ""The Challenge of Exploring Venus"" the author suggests that studying Venus is a worthy pursuit despite the dangers it may present. The author then goes on to tell us all of his facts that back up his claim ",Position,Adequate
3eee9aceab20,0B8A0777A6E5,limiting car usage could be a good thing for some people. only if they like to walk and do fun things with their lives. ,Position,Adequate
96762aa13b6c,0BB223A348F6,it should be student-designed ,Position,Adequate
c5e9a723847b,0BDD43321AFD,"Schools must be aware that if summer projects are always going to be required, the assignments should be student-designed ",Position,Adequate
56536c118079,0BF9F64D6FD1,"In a new modern classroom setting, students should have the liberty to design their own summer projects ",Position,Effective
e6bc4916c669,0BFD128F5C01,"Join the Seagoing Cowboys program so you can help people in need!

We think that you would be perfect for the program! Here are some reasons why you should join! 
",Position,Adequate
f635fc9c8c9e,0C751C31DE85,The principal's idea of all students participating in at least one extracurricular activity is a bad idea ,Position,Adequate
cc186c61fdf4,0C8DFEAE0ADA,I think Luke's point of view of convincing people to go on a Seagoing Cowboy trip. ,Position,Ineffective
72d80bd63901,0C8E8861F91A,I agree with the claim against the value of using this technology to read student's emotional expressions. ,Position,Adequate
c4921c24f6df,0C952AD5C1EA,", they should not use cars ",Position,Adequate
efac90557517,0D220BA8BA23,"FACS can be used in school for knowladge. 
",Position,Adequate
1b24924076f0,0D34A4F5331B,"In that work we gonna explain, give ideas and talk a little bit about the problems at the study of Venus because that planet is very dangers to survival ",Position,Adequate
24a9efd1355d,0D359BCEE452,By the author of this topic is really persauding by true facts where it makes u think. ,Position,Ineffective
0965b6fcca6f,0D3AA8470CC4,limting use of aoto-mobiles can help change the envierment ,Position,Adequate
3043c3d4bb98,0D45F6F0E185,"First of all, I feel like it's pretty reliable, ",Position,Ineffective
652c5cf012cc,0D7FAACC389B,I feel like that the use of the emotional expressions of students in a class room is not good. ,Position,Adequate
8cb9d52e5dd6,0D89C8189022,I do not belive it is true. I will believe it when I see it. ,Position,Ineffective
e6be044be148,0D91FC8A9FE7,"so when it comes to the question ""should summer projects be teacher-designed or student-designed"" teacher-designed projects reign supreme, as it benefits both the student and the teacher in multiple different ways. 
",Position,Effective
c011fa1feaf7,0DB48DDD9022,"I feel like I am for the value of this use of technology, because you can calculate other peoples facial emotions and your facial movements. ",Position,Adequate
5939f4967636,0DC3BDC76434,Venus is a worthy pursuit because the more we know about our sister planet the more things we get to do with it. ,Position,Ineffective
f9f421835316,0DDCAFAEA487,The face is a natral land form ,Position,Adequate
